Movies,Genre,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
Rescuers-Down-Under,Family,34,52,44,48,40,45,32,71,108,95
Frankenweenie,Comedy,117,79,39,128,94,49,54,78,182,251
Despicable-Me-2,Comedy,49,130,51,78,109,52,60,118,145,212
Army-of-Darkness,Action,71,50,59,74,35,62,33,52,144,87
Someone-To-Watch-Over-Me,Action,65,146,41,114,126,98,56,180,177,266
Frozen,Family,79,178,48,125,160,98,72,135,219,286
The-Abyss,Sci-Fi,116,146,74,172,93,109,70,157,262,282
The-Abyss,Sci-Fi,116,146,74,172,93,109,70,157,262,282
Strangers-on-a-Train,Thriller,109,178,93,139,142,126,99,196,254,288
Bean,Fantasy,85,200,81,127,152,129,102,271,248,370
Ex-Machina,Sci-Fi,117,231,73,144,175,140,141,242,269,472
Frozen-River,Crime,199,277,88,185,179,141,119,263,331,371
Nines,Horror,115,233,80,157,172,145,97,266,304,387
War-of-the-Worlds,Sci-Fi,220,252,107,264,166,153,108,220,395,370
Croupier,Crime,185,356,135,214,268,174,202,344,406,547
"Bling-Ring,-The",Crime,171,228,97,206,220,176,108,304,306,485
Gothika,Horror,143,168,113,202,118,182,76,259,339,342
Bourne-Supremacy,Thriller,150,214,98,230,120,188,107,247,354,374
Remember-Me,Romance,157,279,125,174,254,189,163,434,385,659
Duck-Soup,Family,204,281,96,282,229,190,179,389,465,619
Killing-Zoe,Crime,202,270,125,283,224,192,145,363,465,499
Vistor,Romance,92,368,64,158,221,194,175,306,321,513
Arbitrage,Thriller,156,301,108,183,224,194,155,345,374,521
Bad-Teacher,Comedy,204,401,198,226,363,198,204,555,533,768
Theory-of-Everything,Romance,112,408,104,184,351,207,194,382,339,658
Bad-Lieutenan,Crime,225,302,125,283,266,208,157,425,457,460
When-a-Stranger-Calls,Thriller,162,277,163,269,209,209,166,367,474,564
Newsies,Family,312,391,161,355,320,222,262,413,593,721
500-Days-of-Summer,Romance,182,333,171,209,352,222,178,348,402,640
Pirates-of-the-Caribbean,Action,202,273,137,223,191,224,145,359,445,498
Bound,Thriller,307,321,158,314,244,242,216,298,573,442
Hitchhiker's-Guide-to-the-Galaxy,Sci-Fi,302,384,165,359,263,255,186,462,575,783
In-the-Loop,Action,238,365,185,315,224,257,177,455,626,656
Debt,Thriller,170,324,115,342,254,258,236,348,496,594
Antitrust,Crime,231,354,129,430,248,263,189,402,543,756
Eastern-Promises,Crime,226,303,183,315,302,266,195,381,531,561
Mean-Streets,Crime,184,344,175,261,291,267,202,343,505,575
Hunt-for-Red-October,Thriller,329,400,156,414,154,272,195,454,694,879
Dragonslayer,Fantasy,236,387,185,439,283,273,263,417,642,758
Drag-Me-to-He,Horror,183,297,165,267,235,274,201,362,496,486
The-Rage-Carrie-2,Sci-Fi,224,305,163,275,283,276,154,371,503,586
Other-Boylan-Girl,Romance,292,482,199,356,411,282,215,546,548,964
Halloween,Horror,303,310,189,405,251,283,159,437,590,766
Ghost-World,Comedy,165,494,192,262,418,285,248,472,544,801
I-Spit-on-Your-Grave,Horror,269,305,274,324,225,286,259,445,694,532
Freaked,Comedy,331,428,362,457,318,286,302,393,905,641
Passengers,Romance,204,472,144,311,347,291,238,424,561,763
Ninja-Assassin,Thriller,289,240,166,369,172,292,174,333,582,480
Mimic,Horror,237,286,239,351,178,294,152,325,642,502
Gone-Baby-Gone,Crime,265,343,154,335,324,299,214,484,566,651
Deception,Romance,247,455,155,334,338,306,325,463,693,802
American-Outlaws,Action,521,393,189,527,285,307,241,789,786,985
A-few-good-men,Thriller,378,408,189,483,219,316,182,957,720,1025
Peindeer-Games,Thriller,435,422,231,463,361,318,221,465,759,716
Insider,Thriller,284,389,169,341,230,319,195,558,643,855
X-Files-Fight-the-Future,Sci-Fi,281,394,245,497,246,321,246,487,813,780
Moonstruck,Comedy,225,470,132,278,421,322,262,408,481,710
Vanilla-Sky,Romance,241,424,148,371,409,327,259,448,531,787
Alien,Sci-Fi,229,461,246,463,191,336,169,329,760,586
Serical-Mo,Horror,361,338,288,473,262,345,239,411,672,601
Public-Enemies,Thriller,391,433,220,473,293,345,233,515,776,738
Gamer,Sci-Fi,352,302,287,395,238,353,196,344,706,603
Eagle-Eye,Action,388,440,231,551,297,353,290,629,795,864
Autumn-in-New-York,Romance,238,542,253,317,509,361,347,484,673,914
The-Avengers,Action,385,345,178,499,212,365,190,585,749,753
A-Prayer-Before-Dawn,Crime,418,340,236,592,268,365,249,475,771,687
Tall-in-the-Saddle,Romance,480,521,172,487,377,365,487,602,743,795
Dry-White-Season,Thriller,286,417,222,456,287,366,167,586,645,777
Miller's-Crossing,Thriller,394,402,244,475,269,370,315,429,798,644
Casino,Crime,438,596,231,397,506,370,344,718,743,982
Batman,Action,415,464,263,601,472,373,452,571,911,1012
Face-Off,Action,391,372,239,606,264,380,267,464,817,772
Guardians-of-the-Galaxy-Vol-2,Sci-Fi,548,410,272,492,342,386,256,463,856,783
Henry-Foo,Comedy,348,427,357,384,340,391,201,478,730,739
Men-Who-Stare-at-Goats,War,366,376,238,458,308,397,220,517,711,755
Ed-Wood,Comedy,367,602,273,493,512,411,366,632,830,1024
Tomorrow-Never-Dies,Action,464,529,254,711,321,413,394,690,1009,1182
Double-Indeminity,Crime,294,433,172,383,304,435,278,480,681,747
Orphan,Horror,346,473,425,483,438,449,309,521,1031,810
Devil-Wears-Prada,Comedy,273,572,251,331,381,458,170,298,503,737
Dances-with-Wolves,Adventure,682,666,283,615,506,459,408,929,1076,1191
Sherlock-Holmes,Thriller,440,459,346,695,316,470,334,688,988,977
Avatar,Action,572,488,370,758,361,502,353,639,1106,1065
Hospital,Comedy,336,518,257,602,357,510,251,737,833,1020
Dark-Knigh-Rises,Action,729,465,445,949,317,532,271,641,1203,960